"","Player","PER","G"
"1","Michael Jordan",28.61,169
"2","LeBron James",28.38,235
"3","Anthony Davis",26.77,9
"4","Shaquille O'Neal",25.42,202
"5","Hakeem Olajuwon",25.42,111
"6","Chris Paul",25.33,87
"7","Terry Furlow",24.13,9
"8","Kevin Durant",24.07,123
"9","Tim Duncan",23.91,246
"10","Charles Barkley",23.9,108
"11","Dirk Nowitzki",23.74,131
"12","Russell Westbrook",23.66,86
"13","Stephen Curry",23.3,86
"14","Brook Lopez",23.26,13
"15","Magic Johnson",23,183
"16","Jerry West",22.9,151
"17","Wilt Chamberlain",22.7,157
"18","David Robinson",22.55,107
"19","Kyrie Irving",22.45,52
"20","Kareem Abdul-Jabbar",22.26,231
"21","Dwyane Wade",22.11,162
"22","Dwight Howard",22.05,76
"23","Bob Pettit",21.95,49
"24","Kobe Bryant",21.89,211
"25","Yao Ming",21.8,23
"26","James Harden",21.74,94
"27","Clint Capela",21.62,28
"28","Elgin Baylor",21.56,117
"29","Larry Bird",21.32,160
"30","Blake Griffin",21.22,38
"31","Allen Iverson",21.19,67
"32","Moses Malone",21.17,71
"33","Kawhi Leonard",21.17,87
"34","Karl Malone",21.03,167
"35","Jonas Valanciunas",21.03,32
"36","Roy Tarpley",20.93,17
"37","Corey Maggette",20.9,12
"38","Bernard King",20.79,12
"39","Kevin Garnett",20.76,120
"40","Oscar Robertson",20.76,74
"41","Baron Davis",20.53,37
"42","Bob Lanier",20.37,61
"43","Rudy Gobert",20.23,20
"44","Giannis Antetokounmpo",20.23,19
"45","Tracy McGrady",20.21,27
"46","Patrick Ewing",20.19,124
"47","George Gervin",20.08,47
"48","Alex English",19.97,56
"49","Amar'e Stoudemire",19.96,52
"50","Steve Francis",19.9,5
"51","Julius Erving",19.86,131
"52","John Wall",19.86,37
"53","Pau Gasol",19.83,115
"54","Tom Burleson",19.82,15
"55","Walt Frazier",19.78,86
"56","Anfernee Hardaway",19.76,53
"57","Isiah Thomas",19.74,97
"58","Gus Williams",19.58,67
"59","Clyde Drexler",19.56,113
"60","John Stockton",19.56,131
"61","LaMarcus Aldridge",19.45,60
"62","Rick Barry",19.44,66
"63","Dan Issel",19.44,42
"64","Bill Russell",19.31,135
"65","Todd MacCulloch",19.28,20
"66","Marques Johnson",19.26,54
"67","Reggie Miller",19.25,113
"68","Kevin McHale",19.24,150
"69","Shawn Kemp",19.16,65
"70","Elvin Hayes",19.05,91
"71","Derrick Coleman",19.04,17
"72","Steve Nash",18.96,100
"73","Carmelo Anthony",18.95,44
"74","Cliff Hagan",18.91,49
"75","Manu Ginobili",18.9,191
"76","Eric Bledsoe",18.89,7
"77","Marc Gasol",18.86,59
"78","Chris Andersen",18.85,53
"79","Enes Kanter",18.83,18
"80","Chris Webber",18.74,59
"81","Kemba Walker",18.71,7
"82","Alonzo Mourning",18.7,72
"83","Arvydas Sabonis",18.7,29
"84","Dario Saric",18.7,10
"85","Derrick Rose",18.65,40
"86","Dominique Wilkins",18.65,35
"87","Brad Daugherty",18.64,31
"88","Chauncey Billups",18.53,133
"89","Hassan Whiteside",18.53,10
"90","Adrian Dantley",18.51,67
"91","Larry Nance",18.46,59
"92","Chris Bosh",18.38,84
"93","Kevin Johnson",18.35,84
"94","James Worthy",18.3,138
"95","Walter Davis",18.29,40
"96","Spud Webb",18.2,12
"97","Joel Embiid",18.2,8
"98","Reggie Lewis",18.15,21
"99","Scottie Pippen",18.12,194
"100","Paul Millsap",18.12,78
"101","Fred Brown",18.05,68
"102","Al Horford",18.04,108
"103","Rajon Rondo",18.02,101
"104","Jrue Holiday",17.97,22
"105","Isaiah Thomas",17.9,21
"106","Jason Richardson",17.89,27
"107","Bob McAdoo",17.89,81
"108","Mike Conley",17.83,56
"109","Rik Smits",17.82,84
"110","Brandon Roy",17.78,6
"111","Paul George",17.71,62
"112","Tom Boerwinkle",17.7,13
"113","Jeff Ruland",17.65,7
"114","Paul Arizin",17.64,21
"115","Sarunas Marciulionis",17.64,9
"116","Damian Lillard",17.62,27
"117","Bradley Beal",17.57,40
"118","Mark Aguirre",17.51,89
"119","Carl Landry",17.5,31
"120","Tom Heinsohn",17.48,72
"121","Kevin Love",17.44,55
"122","Larry Spriggs",17.44,16
"123","Vin Baker",17.38,10
"124","Grant Hill",17.28,21
"125","Sam Jones",17.26,122
"126","Billy Cunningham",17.24,32
"127","Bill Sharman",17.22,23
"128","Cedric Ceballos",17.2,20
"129","John Havlicek",17.16,172
"130","Vince Carter",17.16,49
"131","Roy Hibbert",17.1,49
"132","Johnny Moore",17.09,20
"133","Bob Gross",17.08,19
"134","Gail Goodrich",17.07,62
"135","Mark Price",17.07,31
"136","Gordon Hayward",17.07,11
"137","Carlos Boozer",17.06,67
"138","Alvan Adams",17.06,70
"139","Dennis Schroder",17.05,22
"140","Derrick Favors",17.02,22
"141","Robin Lopez",17.02,11
"142","David West",17.01,78
"143","Al-Farouq Aminu",17,11
"144","Ralph Sampson",16.93,30
"145","Mike Newlin",16.92,20
"146","Bob Dandridge",16.91,95
"147","Donovan Mitchell",16.9,11
"148","Draymond Green",16.89,97
"149","Walt Bellamy",16.82,42
"150","Rod Strickland",16.82,15
"151","Sidney Wicks",16.8,9
"152","Randy Smith",16.78,22
"153","Ed Pinckney",16.76,10
"154","Calvin Murphy",16.75,46
"155","Flynn Robinson",16.75,10
"156","Vlade Divac",16.74,86
"157","DeAndre Jordan",16.72,45
"158","Bill Walton",16.71,35
"159","Ben Simmons",16.7,10
"160","Dolph Schayes",16.69,8
"161","Latrell Sprewell",16.67,59
"162","Doug Collins",16.66,29
"163","Darren Collison",16.66,31
"164","Dikembe Mutombo",16.64,54
"165","Terry Cummings",16.64,56
"166","Josh Smith",16.63,58
"167","Jason Kidd",16.6,134
"168","David Thompson",16.6,19
"169","Tony Parker",16.56,216
"170","Deron Williams",16.55,81
"171","Glenn Robinson",16.53,18
"172","Dave Cowens",16.52,89
"173","Robert Parish",16.52,166
"174","Maurice Cheeks",16.52,117
"175","Nate Robinson",16.52,12
"176","Chet Walker",16.51,77
"177","Bobby Jones",16.51,114
"178","Charlie Ward",16.51,46
"179","Jerome James",16.49,11
"180","Toni Kukoc",16.46,75
"181","Zach Randolph",16.46,59
"182","Joakim Noah",16.45,52
"183","Campy Russell",16.44,13
"184","Jeff Hornacek",16.43,131
"185","Willis Reed",16.43,63
"186","Jameer Nelson",16.43,30
"187","Andrew Bynum",16.4,68
"188","Paul Pierce",16.38,154
"189","Khris Middleton",16.38,19
"190","Darnell Valentine",16.37,16
"191","Channing Frye",16.36,33
"192","Jason Maxiell",16.34,17
"193","Antawn Jamison",16.34,33
"194","Lamar Odom",16.32,97
"195","Jayson Tatum",16.3,19
"196","Marcus Camby",16.23,36
"197","Terry Porter",16.21,71
"198","Don Nelson",16.21,136
"199","Jeff Foster",16.19,29
"200","Lou Hudson",16.18,46
"201","Dan Roundfield",16.17,18
"202","Richard Hamilton",16.15,116
"203","Tim Thomas",16.14,38
"204","Connie Hawkins",16.14,7
"205","Fat Lever",16.11,28
"206","Brandon Bass",16.09,26
"207","Hersey Hawkins",16.07,61
"208","Mike Gminski",16.07,21
"209","Mitch Richmond",16.04,17
"210","Earl Monroe",16.02,69
"211","Pete Maravich",15.98,12
"212","Johnny Green",15.94,12
"213","Danny Manning",15.92,11
"214","Goran Dragic",15.92,30
"215","Ray Allen",15.87,163
"216","Serge Ibaka",15.85,103
"217","Calvin Natt",15.81,32
"218","Slick Watts",15.79,9
"219","Darrell Griffith",15.78,21
"220","Victor Oladipo",15.77,7
"221","DeMar DeRozan",15.77,47
"222","Tiago Splitter",15.75,42
"223","Josh Howard",15.73,52
"224","Shawn Marion",15.64,82
